# C208 to FFFF page-resolution census

index,record_cpu,raw3,c208,adjusted,ffff_page
0x00,0x6046,8ff7ea,0xF78F,0xF61F,0x1F
0x01,0x604A,200004,0x0020,0x0020,0x1E
0x02,0x604E,000301,0x0300,0x0190,0x1F
0x03,0x6052,100002,0x0010,0x0010,0x1E
0x04,0x6056,030106,0x0103,0x0103,0x1E
0x05,0x605A,100002,0x0010,0x0010,0x1E
0x06,0x605E,03010b,0x0103,0x0103,0x1E
0x07,0x6062,04fc3b,0xFC04,0xFA94,0x1F
0x08,0x6066,130510,0x0513,0x03A3,0x1F
0x09,0x606A,027201,0x7202,0x7092,0x1F
0x0A,0x606E,060510,0x0506,0x0396,0x1F
0x0B,0x6072,0104fc,0x0401,0x0291,0x1F
0x0C,0x6076,031305,0x1303,0x1193,0x1F
0x0D,0x607A,0002b5,0x0200,0x0090,0x1F
0x0E,0x607E,000605,0x0600,0x0490,0x1F
0x0F,0x6082,000102,0x0100,0x0100,0x1E
0x10,0x6086,010206,0x0201,0x0091,0x1F
0x11,0x608A,1000fe,0x0010,0x0010,0x1E
0x12,0x608E,c20102,0x01C2,0x0052,0x1F
0x13,0x6092,010206,0x0201,0x0091,0x1F
0x14,0x6096,100001,0x0010,0x0010,0x1E
0x15,0x609A,c90102,0x01C9,0x0059,0x1F
0x16,0x609E,051000,0x1005,0x0E95,0x1F
0x17,0x60A2,021003,0x1002,0x0E92,0x1F
0x18,0x60A6,060510,0x0506,0x0396,0x1F
0x19,0x60AA,021103,0x1102,0x0F92,0x1F
0x1A,0x60AE,050400,0x0405,0x0295,0x1F
0x1B,0x60B2,9b0705,0x079B,0x062B,0x1F
0x1C,0x60B6,000605,0x0600,0x0490,0x1F
0x1D,0x60BA,0002d5,0x0200,0x0090,0x1F
0x1E,0x60BE,00eeac,0xEE00,0xEC90,0x1F
0x1F,0x60C2,051000,0x1005,0x0E95,0x1F
0x20,0x60C6,fc4403,0x44FC,0x438C,0x1F
0x21,0x60CA,051000,0x1005,0x0E95,0x1F
0x22,0x60CE,d60100,0x01D6,0x0066,0x1F
0x23,0x60D2,051000,0x1005,0x0E95,0x1F
0x24,0x60D6,080104,0x0108,0x0108,0x1E
0x25,0x60DA,430317,0x0343,0x01D3,0x1F
0x26,0x60DE,100002,0x0010,0x0010,0x1E
0x27,0x60E2,010006,0x0001,0x0001,0x1E
0x28,0x60E6,100001,0x0010,0x0010,0x1E
0x29,0x60EA,fc4203,0x42FC,0x418C,0x1F
0x2A,0x60EE,051000,0x1005,0x0E95,0x1F
0x2B,0x60F2,ca0100,0x01CA,0x005A,0x1F
0x2C,0x60F6,051000,0x1005,0x0E95,0x1F
0x2D,0x60FA,04fc40,0xFC04,0xFA94,0x1F
0x2E,0x60FE,170510,0x0517,0x03A7,0x1F
0x2F,0x6102,02c701,0xC702,0xC592,0x1F
0x30,0x6106,060510,0x0506,0x0396,0x1F
0x31,0x610A,0104fc,0x0401,0x0291,0x1F
0x32,0x610E,031705,0x1703,0x1593,0x1F
0x33,0x6112,0002cb,0x0200,0x0090,0x1F
0x34,0x6116,000605,0x0600,0x0490,0x1F
0x35,0x611A,000102,0x0100,0x0100,0x1E
0x36,0x611E,030006,0x0003,0x0003,0x1E
0x37,0x6122,100002,0x0010,0x0010,0x1E
0x38,0x6126,030205,0x0203,0x0093,0x1F
0x39,0x612A,00ee99,0xEE00,0xEC90,0x1F
0x3A,0x612E,050400,0x0405,0x0295,0x1F
0x3B,0x6132,051000,0x1005,0x0E95,0x1F
0x3C,0x6136,0c0300,0x030C,0x019C,0x1F
0x3D,0x613A,051000,0x1005,0x0E95,0x1F
0x3E,0x613E,2f0504,0x052F,0x03BF,0x1F
0x3F,0x6142,02ce01,0xCE02,0xCC92,0x1F
0x40,0x6146,060510,0x0506,0x0396,0x1F
0x41,0x614A,02cf01,0xCF02,0xCD92,0x1F
0x42,0x614E,060510,0x0506,0x0396,0x1F
0x43,0x6152,fe81c2,0x81FE,0x808E,0x1F
0x44,0x6156,080102,0x0108,0x0108,0x1E
0x45,0x615A,010006,0x0001,0x0001,0x1E
0x46,0x615E,100001,0x0010,0x0010,0x1E
0x47,0x6162,d00100,0x01D0,0x0060,0x1F
0x48,0x6166,051000,0x1005,0x0E95,0x1F
0x49,0x616A,02d701,0xD702,0xD592,0x1F
0x4A,0x616E,060510,0x0506,0x0396,0x1F
0x4B,0x6172,0102d8,0x0201,0x0091,0x1F
0x4C,0x6176,000605,0x0600,0x0490,0x1F
0x4D,0x617A,000102,0x0100,0x0100,0x1E
0x4E,0x617E,030006,0x0003,0x0003,0x1E
0x4F,0x6182,100002,0x0010,0x0010,0x1E
0x50,0x6186,030205,0x0203,0x0093,0x1F
