c,ac31_nonzero,ac0b_nonzero
0x00,"",""
0x01,"0xD131,0x20;","0xD127,0x20;"
0x02,"0xD132,0x02;","0xD128,0x04;"
0x03,"0xD131,0x20;0xD132,0x02;","0xD127,0x20;0xD128,0x04;"
0x04,"0xD131,0x04;","0xD12E,0x02;"
0x05,"0xD131,0x24;","0xD127,0x20;0xD12E,0x02;"
0x06,"0xD131,0x04;0xD132,0x02;","0xD128,0x04;0xD12E,0x02;"
0x07,"0xD131,0x24;0xD132,0x02;","0xD127,0x20;0xD128,0x04;0xD12E,0x02;"
0x08,"0xD130,0x08;","0xD130,0x01;"
0x09,"0xD130,0x08;0xD131,0x20;","0xD127,0x20;0xD130,0x01;"
0x0A,"0xD130,0x08;0xD132,0x02;","0xD128,0x04;0xD130,0x01;"
0x0B,"0xD130,0x08;0xD131,0x20;0xD132,0x02;","0xD127,0x20;0xD128,0x04;0xD130,0x01;"
0x0C,"0xD130,0x08;0xD131,0x04;","0xD12E,0x02;0xD130,0x01;"
0x0D,"0xD130,0x08;0xD131,0x24;","0xD127,0x20;0xD12E,0x02;0xD130,0x01;"
0x0E,"0xD130,0x08;0xD131,0x04;0xD132,0x02;","0xD128,0x04;0xD12E,0x02;0xD130,0x01;"
0x0F,"0xD130,0x08;0xD131,0x24;0xD132,0x02;","0xD127,0x20;0xD128,0x04;0xD12E,0x02;0xD130,0x01;"
0x10,"0xD12F,0x20;","0xD12D,0x20;"
0x11,"0xD12F,0x20;0xD131,0x20;","0xD127,0x20;0xD12D,0x20;"
0x12,"0xD12F,0x20;0xD132,0x02;","0xD128,0x04;0xD12D,0x20;"
0x13,"0xD12F,0x20;0xD131,0x20;0xD132,0x02;","0xD127,0x20;0xD128,0x04;0xD12D,0x20;"
0x14,"0xD12F,0x20;0xD131,0x04;","0xD12D,0x20;0xD12E,0x02;"
0x15,"0xD12F,0x20;0xD131,0x24;","0xD127,0x20;0xD12D,0x20;0xD12E,0x02;"
0x16,"0xD12F,0x20;0xD131,0x04;0xD132,0x02;","0xD128,0x04;0xD12D,0x20;0xD12E,0x02;"
0x17,"0xD12F,0x20;0xD131,0x24;0xD132,0x02;","0xD127,0x20;0xD128,0x04;0xD12D,0x20;0xD12E,0x02;"
0x18,"0xD12F,0x20;0xD130,0x08;","0xD12D,0x20;0xD130,0x01;"
0x19,"0xD12F,0x20;0xD130,0x08;0xD131,0x20;","0xD127,0x20;0xD12D,0x20;0xD130,0x01;"
0x1A,"0xD12F,0x20;0xD130,0x08;0xD132,0x02;","0xD128,0x04;0xD12D,0x20;0xD130,0x01;"
0x1B,"0xD12F,0x20;0xD130,0x08;0xD131,0x20;0xD132,0x02;","0xD127,0x20;0xD128,0x04;0xD12D,0x20;0xD130,0x01;"
0x1C,"0xD12F,0x20;0xD130,0x08;0xD131,0x04;","0xD12D,0x20;0xD12E,0x02;0xD130,0x01;"
0x1D,"0xD12F,0x20;0xD130,0x08;0xD131,0x24;","0xD127,0x20;0xD12D,0x20;0xD12E,0x02;0xD130,0x01;"
0x1E,"0xD12F,0x20;0xD130,0x08;0xD131,0x04;0xD132,0x02;","0xD128,0x04;0xD12D,0x20;0xD12E,0x02;0xD130,0x01;"
0x1F,"0xD12F,0x20;0xD130,0x08;0xD131,0x24;0xD132,0x02;","0xD127,0x20;0xD128,0x04;0xD12D,0x20;0xD12E,0x02;0xD130,0x01;"
0x20,"0xD12D,0x08;","0xD132,0x04;"
0x21,"0xD12D,0x08;0xD131,0x20;","0xD127,0x20;0xD132,0x04;"
0x22,"0xD12D,0x08;0xD132,0x02;","0xD128,0x04;0xD132,0x04;"
0x23,"0xD12D,0x08;0xD131,0x20;0xD132,0x02;","0xD127,0x20;0xD128,0x04;0xD132,0x04;"
0x24,"0xD12D,0x08;0xD131,0x04;","0xD12E,0x02;0xD132,0x04;"
0x25,"0xD12D,0x08;0xD131,0x24;","0xD127,0x20;0xD12E,0x02;0xD132,0x04;"
0x26,"0xD12D,0x08;0xD131,0x04;0xD132,0x02;","0xD128,0x04;0xD12E,0x02;0xD132,0x04;"
0x27,"0xD12D,0x08;0xD131,0x24;0xD132,0x02;","0xD127,0x20;0xD128,0x04;0xD12E,0x02;0xD132,0x04;"
0x28,"0xD12D,0x08;0xD130,0x08;","0xD130,0x01;0xD132,0x04;"
0x29,"0xD12D,0x08;0xD130,0x08;0xD131,0x20;","0xD127,0x20;0xD130,0x01;0xD132,0x04;"
0x2A,"0xD12D,0x08;0xD130,0x08;0xD132,0x02;","0xD128,0x04;0xD130,0x01;0xD132,0x04;"
0x2B,"0xD12D,0x08;0xD130,0x08;0xD131,0x20;0xD132,0x02;","0xD127,0x20;0xD128,0x04;0xD130,0x01;0xD132,0x04;"
