# 9E70 scene-index analysis

index,entry_offset,entry_word,record_cpu,record_bytes,record_kind
0x18,0x5F4C,0x1005,0x704B,00120013,in-bank
0x19,0x5F4E,0x0100,0x6146,06051000,in-bank
0x1A,0x5F50,0x02FC,0x6342,01020605,in-bank
0x1B,0x5F52,0x0303,0x6349,31050400,in-bank
0x1C,0x5F54,0x1005,0x704B,00120013,in-bank
0x1D,0x5F56,0x0200,0x6246,01fc4103,in-bank
0x1E,0x5F58,0x001B,0x6061,0104fc3b,in-bank
0x1F,0x5F5A,0x0600,0x6646,1afc4b03,in-bank
0x20,0x5F5C,0x1005,0x704B,00120013,in-bank
0x21,0x5F5E,0x0100,0x6146,06051000,in-bank
0x22,0x5F60,0x02FF,0x6345,051000fb,in-bank
0x23,0x5F62,0x00FC,0x6142,02ce0100,in-bank
0x24,0x5F64,0x0003,0x6049,05200004,in-bank
0x25,0x5F66,0x1005,0x704B,00120013,in-bank
0x26,0x5F68,0x0200,0x6246,01fc4103,in-bank
0x27,0x5F6A,0x000F,0x6055,31030106,in-bank
0x28,0x5F6C,0x0600,0x6646,1afc4b03,in-bank
0x29,0x5F6E,0x1005,0x704B,00120013,in-bank
0x2A,0x5F70,0x0100,0x6146,06051000,in-bank
0x2B,0x5F72,0xB8FD,0x0000,,outside-bank
0x2C,0x5F74,0xFCC2,0x0000,,outside-bank
0x2D,0x5F76,0x0309,0x634F,01000605,in-bank
0x2E,0x5F78,0x0506,0x654C,3d0000ee,in-bank
0x2F,0x5F7A,0x0010,0x6056,03010605,in-bank
0x30,0x5F7C,0x2DFB,0x0000,,outside-bank
