# Scene stream command-preserving parse

bank=22 start=0x5F40 length=0x400

offset,byte,classification
0x5F40,0xFC,control candidate
0x5F41,0x3E,payload/unknown
0x5F42,0x03,payload/unknown
0x5F43,0x16,payload/unknown
0x5F44,0x05,common parameter/opcode candidate
0x5F45,0x10,common parameter/opcode candidate
0x5F46,0x00,padding/zero candidate
0x5F47,0x02,payload/unknown
0x5F48,0xA0,payload/unknown
0x5F49,0x01,payload/unknown
0x5F4A,0x00,padding/zero candidate
0x5F4B,0x06,common parameter/opcode candidate
0x5F4C,0x05,common parameter/opcode candidate
0x5F4D,0x10,common parameter/opcode candidate
0x5F4E,0x00,padding/zero candidate
0x5F4F,0x01,payload/unknown
0x5F50,0xFC,control candidate
0x5F51,0x02,payload/unknown
0x5F52,0x03,payload/unknown
0x5F53,0x03,payload/unknown
0x5F54,0x05,common parameter/opcode candidate
0x5F55,0x10,common parameter/opcode candidate
0x5F56,0x00,padding/zero candidate
0x5F57,0x02,payload/unknown
0x5F58,0x1B,payload/unknown
0x5F59,0x00,padding/zero candidate
0x5F5A,0x00,padding/zero candidate
0x5F5B,0x06,common parameter/opcode candidate
0x5F5C,0x05,common parameter/opcode candidate
0x5F5D,0x10,common parameter/opcode candidate
0x5F5E,0x00,padding/zero candidate
0x5F5F,0x01,payload/unknown
0x5F60,0xFF,record/end marker
0x5F61,0x02,payload/unknown
0x5F62,0xFC,control candidate
0x5F63,0x00,padding/zero candidate
0x5F64,0x03,payload/unknown
0x5F65,0x00,padding/zero candidate
0x5F66,0x05,common parameter/opcode candidate
0x5F67,0x10,common parameter/opcode candidate
0x5F68,0x00,padding/zero candidate
0x5F69,0x02,payload/unknown
0x5F6A,0x0F,payload/unknown
0x5F6B,0x00,padding/zero candidate
0x5F6C,0x00,padding/zero candidate
0x5F6D,0x06,common parameter/opcode candidate
0x5F6E,0x05,common parameter/opcode candidate
0x5F6F,0x10,common parameter/opcode candidate
0x5F70,0x00,padding/zero candidate
0x5F71,0x01,payload/unknown
0x5F72,0xFD,control candidate
0x5F73,0xB8,payload/unknown
0x5F74,0xC2,payload/unknown
0x5F75,0xFC,control candidate
